site,name,dateTimeUTC,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),winddirection,windspeed (m/s)
TA00216,Makerere Synoptic,2017-09-09 15:00:00,73,0,87.5,0.9,23.27,SE,0.44
TA00216,Makerere Synoptic,2017-09-09 16:00:00,77,0,87.58,0,22.72,NE,0.38
TA00216,Makerere Synoptic,2017-09-09 17:00:00,80,0,87.67,0,22.29,SE,0.37
TA00216,Makerere Synoptic,2017-09-09 18:00:00,82,0,87.66,0,21.71,N,0.34
TA00216,Makerere Synoptic,2017-09-09 19:00:00,87,0,87.68,0,20.86,NE,0.29
TA00216,Makerere Synoptic,2017-09-09 20:00:00,90,0,87.77,0,20.3,SE,0.46
TA00216,Makerere Synoptic,2017-09-09 21:00:00,91,0,87.74,0,20.3,SE,0.59
TA00216,Makerere Synoptic,2017-09-09 22:00:00,91,0,87.67,0,20.14,SE,0.99
TA00216,Makerere Synoptic,2017-09-09 23:00:00,89,0,87.63,0,20.15,SE,1.19
TA00216,Makerere Synoptic,2017-09-10 00:00:00,89,0,87.59,0,19.78,E,0.69
TA00216,Makerere Synoptic,2017-09-10 01:00:00,86,0,87.68,0,19.75,NE,1.04
TA00216,Makerere Synoptic,2017-09-10 02:00:00,93,0,87.72,0,19.4,E,0.51
TA00216,Makerere Synoptic,2017-09-10 03:00:00,95,0,87.74,0.72,19.03,E,0.37
TA00216,Makerere Synoptic,2017-09-10 04:00:00,97,0,87.78,36.35,19.32,W,0.43
TA00216,Makerere Synoptic,2017-09-10 05:00:00,94,0,87.84,128.68,20.36,NW,0.46
TA00216,Makerere Synoptic,2017-09-10 06:00:00,86,0,87.88,295.5,22.14,W,0.58
TA00216,Makerere Synoptic,2017-09-10 07:00:00,78,0,87.94,337.85,23.09,W,0.71
TA00216,Makerere Synoptic,2017-09-10 08:00:00,70,0,87.89,760.4,25.3,N,0.92
TA00216,Makerere Synoptic,2017-09-10 09:00:00,63,0,87.82,476.25,25.71,N,0.79
TA00216,Makerere Synoptic,2017-09-10 10:00:00,61,0,87.73,262.57,25.79,E,0.57
TA00216,Makerere Synoptic,2017-09-10 11:00:00,73,0,87.66,97.13,22.22,E,1.41
TA00216,Makerere Synoptic,2017-09-10 12:00:00,70,0,87.55,453.62,22.81,N,0.91
TA00216,Makerere Synoptic,2017-09-10 13:00:00,61,0,87.51,350.4,25.05,W,0.67
TA00216,Makerere Synoptic,2017-09-10 14:00:00,54,0,87.49,310.97,26.37,W,0.79
TA00216,Makerere Synoptic,2017-09-10 15:00:00,57,0,87.54,64.95,24.99,NW,0.48
TA00216,Makerere Synoptic,2017-09-10 16:00:00,65,0,87.65,0,23.06,N,0.35
TA00216,Makerere Synoptic,2017-09-10 17:00:00,73,0,87.66,0,22.24,N,0.42
TA00216,Makerere Synoptic,2017-09-10 18:00:00,77,0,87.73,0,21.54,NE,0.39
TA00216,Makerere Synoptic,2017-09-10 19:00:00,80,0,87.8,0,20.68,NE,0.31
TA00216,Makerere Synoptic,2017-09-10 20:00:00,83,0,87.8,0,20.14,NE,0.43
TA00216,Makerere Synoptic,2017-09-10 21:00:00,86,0,87.76,0,19.68,NE,0.32
TA00216,Makerere Synoptic,2017-09-10 22:00:00,90,0,87.72,0,19.37,N,0.53
TA00216,Makerere Synoptic,2017-09-10 23:00:00,91,0,87.66,0,19.2,S,0.6
TA00216,Makerere Synoptic,2017-09-11 00:00:00,93,0,87.6,0,18.57,NE,0.33
TA00216,Makerere Synoptic,2017-09-11 01:00:00,94,0,87.61,0,18.17,SE,0.54
TA00216,Makerere Synoptic,2017-09-11 02:00:00,95,0,87.64,0,17.99,NE,0.47
TA00216,Makerere Synoptic,2017-09-11 03:00:00,94,0,87.68,1.65,18.06,NE,0.48
TA00216,Makerere Synoptic,2017-09-11 04:00:00,93,0,87.74,42.48,18.29,E,0.44
TA00216,Makerere Synoptic,2017-09-11 05:00:00,89,0,87.79,258.23,20.45,NE,0.59
TA00216,Makerere Synoptic,2017-09-11 06:00:00,75,0,87.83,503.83,23.7,NE,0.72
TA00216,Makerere Synoptic,2017-09-11 07:00:00,67,0,87.85,694.48,25.62,SE,0.73
TA00216,Makerere Synoptic,2017-09-11 08:00:00,64,0,87.8,895.1,26.37,S,0.86
TA00216,Makerere Synoptic,2017-09-11 09:00:00,60,0,87.73,631.08,26.96,N,0.93
TA00216,Makerere Synoptic,2017-09-11 10:00:00,56,0,87.64,616.04,27.52,SE,0.83
TA00216,Makerere Synoptic,2017-09-11 11:00:00,52,0,87.54,631.81,28.23,E,0.73
TA00216,Makerere Synoptic,2017-09-11 12:00:00,53,1.74,87.49,156.31,28.11,NE,0.67
TA00216,Makerere Synoptic,2017-09-11 13:00:00,75,0.03,87.45,127.47,22.33,NE,0.61
TA00216,Makerere Synoptic,2017-09-11 14:00:00,70,0,87.45,41.77,23.3,NE,0.44
TA00216,Makerere Synoptic,2017-09-13 16:00:00,92,0,87.62,0,20.72,E,1.27
TA00216,Makerere Synoptic,2017-09-24 01:00:00,90,0,87.73,0,20.46,E,0.91
TA00216,Makerere Synoptic,2017-09-24 02:00:00,92,0,87.8,0,19.9,E,0.84
TA00216,Makerere Synoptic,2017-09-24 03:00:00,94,0,87.82,1.7,19.14,N,0.56
TA00216,Makerere Synoptic,2017-09-24 04:00:00,95,0,87.88,55.55,19.57,SE,0.81
TA00216,Makerere Synoptic,2017-09-24 05:00:00,92,0,88.02,170.5,20.47,E,1.63
TA00216,Makerere Synoptic,2017-09-24 06:00:00,85,0,87.98,516.42,22.06,SE,1.53
TA00216,Makerere Synoptic,2017-09-24 07:00:00,75,0,87.97,612.73,23.5,N,1.13
TA00216,Makerere Synoptic,2017-09-24 08:00:00,67,0,87.94,730.33,25.55,SE,0.93
TA00216,Makerere Synoptic,2017-09-24 09:00:00,67,0,87.88,480.15,25.42,S,0.97
TA00216,Makerere Synoptic,2017-09-24 10:00:00,61,0,87.75,881.57,25.98,SE,1.05
TA00216,Makerere Synoptic,2017-09-24 11:00:00,47,0,87.64,746.57,27.35,S,0.99
TA00216,Makerere Synoptic,2017-09-24 12:00:00,44,0,87.58,444.57,27.86,N,0.67
TA00216,Makerere Synoptic,2017-09-24 13:00:00,58,0,87.62,142.58,25.17,SW,1.03
TA00216,Makerere Synoptic,2017-09-24 14:00:00,70,0,87.62,43.28,23.34,N,0.54
TA00216,Makerere Synoptic,2017-09-24 15:00:00,75,0,87.63,13.58,22.67,SE,0.69
TA00216,Makerere Synoptic,2017-09-24 16:00:00,80,0,87.71,0,21.76,SE,0.58
TA00216,Makerere Synoptic,2017-09-24 17:00:00,84,0,87.8,0,21.23,E,0.3
TA00216,Makerere Synoptic,2017-09-24 18:00:00,85,0,87.82,0,21.11,SE,0.64
TA00216,Makerere Synoptic,2017-09-24 19:00:00,80,0,87.85,0,20.23,SE,0.78
TA00216,Makerere Synoptic,2017-09-24 20:00:00,82,0,87.81,0,19.64,SE,1.03
TA00216,Makerere Synoptic,2017-09-24 21:00:00,87,0,87.77,0,19.11,N,1.13
TA00216,Makerere Synoptic,2017-09-24 22:00:00,91,0,87.72,0,18.54,E,0.81
TA00216,Makerere Synoptic,2017-09-24 23:00:00,93,0,87.67,0,18.4,E,0.85
TA00216,Makerere Synoptic,2017-09-25 00:00:00,94,0,87.65,0,18.4,E,0.69
TA00216,Makerere Synoptic,2017-09-25 01:00:00,95,0,87.66,0,17.94,E,0.7
TA00216,Makerere Synoptic,2017-09-25 02:00:00,96,0,87.68,0,17.49,NE,0.6
TA00216,Makerere Synoptic,2017-09-25 03:00:00,96,0,87.71,2.4,17.37,N,0.39
TA00216,Makerere Synoptic,2017-09-25 04:00:00,95,0,87.74,58.15,18.02,NE,0.55
TA00216,Makerere Synoptic,2017-09-25 05:00:00,93,0,87.76,228.73,19.81,E,0.82
TA00216,Makerere Synoptic,2017-09-25 06:00:00,85,0,87.75,502.67,22.07,E,0.85
TA00216,Makerere Synoptic,2017-09-25 07:00:00,70,0,87.74,730.45,24.83,E,0.87
TA00216,Makerere Synoptic,2017-09-25 08:00:00,60,0,87.7,880.13,26.6,E,0.94
TA00216,Makerere Synoptic,2017-09-25 09:00:00,55,0,87.66,899.25,27.75,E,0.91
TA00216,Makerere Synoptic,2017-09-25 10:00:00,54,0,87.58,570.99,27.93,E,0.83
TA00216,Makerere Synoptic,2017-09-25 11:00:00,52,0,87.49,635.77,28.59,SE,0.79
TA00216,Makerere Synoptic,2017-09-25 12:00:00,52,0,87.44,186.93,27.89,E,0.64
TA00216,Makerere Synoptic,2017-09-25 13:00:00,59,0,87.42,47.42,26.11,NE,0.75
TA00216,Makerere Synoptic,2017-09-25 14:00:00,76,6.86,87.45,63.55,21.59,SE,1.03
TA00216,Makerere Synoptic,2017-09-25 15:00:00,91,1.02,87.47,13.92,18.43,E,0.66
TA00216,Makerere Synoptic,2017-09-25 16:00:00,90,0,87.54,0,19.53,NE,0.51
TA00216,Makerere Synoptic,2017-09-25 17:00:00,92,0,87.62,0,19.83,NE,0.5
TA00216,Makerere Synoptic,2017-09-25 18:00:00,91,0,87.73,0,19.96,E,0.61
TA00216,Makerere Synoptic,2017-09-25 19:00:00,86,0,87.72,0,19.85,SE,0.63
TA00216,Makerere Synoptic,2017-09-25 20:00:00,83,0,87.7,0,19.95,E,0.59
TA00216,Makerere Synoptic,2017-09-25 21:00:00,87,0,87.69,0,19.38,NE,0.73
TA00216,Makerere Synoptic,2017-09-25 22:00:00,89,0,87.63,0,19.31,SE,0.52
TA00216,Makerere Synoptic,2017-09-25 23:00:00,89,0,87.61,0,19.56,E,0.69
TA00216,Makerere Synoptic,2017-09-26 00:00:00,89,0,87.56,0,19.78,E,0.78
TA00216,Makerere Synoptic,2017-09-26 01:00:00,89,0,87.58,0,19.85,SE,1.23
TA00216,Makerere Synoptic,2017-09-26 02:00:00,92,0,87.62,0,19.17,S,0.56
TA00216,Makerere Synoptic,2017-09-26 03:00:00,95,0,87.65,0,18.55,N,0.49
TA00216,Makerere Synoptic,2017-10-31 20:00:00,85,0,87.73,0,20.83,N,0.19
TA00216,Makerere Synoptic,2017-10-31 21:00:00,84,0,87.71,0,21.35,NE,0.71
TA00216,Makerere Synoptic,2017-10-31 22:00:00,83,0.27,87.65,0,21.39,NE,0.77
TA00216,Makerere Synoptic,2017-10-31 23:00:00,84,0.12,87.65,0,20.81,SW,1.07
TA00216,Makerere Synoptic,2017-11-01 00:00:00,87,0.68,87.65,0,18.64,SE,1.24
TA00216,Makerere Synoptic,2017-11-01 01:00:00,91,0.31,87.62,0,18.1,E,0.61
TA00216,Makerere Synoptic,2017-11-01 02:00:00,90,0.02,87.64,0,18.65,SE,1.38
TA00216,Makerere Synoptic,2017-11-01 03:00:00,87,0,87.7,10.35,18.48,SE,0.87
TA00216,Makerere Synoptic,2017-11-01 04:00:00,90,0,87.79,63.18,18.46,E,0.45
TA00216,Makerere Synoptic,2017-11-01 05:00:00,83,0,87.84,316.25,21.12,NE,0.39
TA00216,Makerere Synoptic,2017-11-01 06:00:00,63,0,87.85,541.25,25.5,SE,0.61
TA00216,Makerere Synoptic,2017-11-01 07:00:00,56,0,87.83,676.14,27.1,E,0.78
TA00216,Makerere Synoptic,2017-11-01 08:00:00,55,0,87.77,791.53,27.97,SE,0.82
TA00216,Makerere Synoptic,2017-11-01 09:00:00,55,0,87.69,761.09,28.29,SW,0.87
TA00216,Makerere Synoptic,2017-11-01 10:00:00,50,0,87.59,619.73,28.83,W,0.97
TA00216,Makerere Synoptic,2017-11-01 11:00:00,54,0,87.53,254.81,27.79,SW,0.71
TA00216,Makerere Synoptic,2017-11-01 12:00:00,53,0,87.48,433.45,28.61,SW,1.11
TA00216,Makerere Synoptic,2017-11-01 13:00:00,59,0,87.48,129.7,26.31,W,0.85
TA00216,Makerere Synoptic,2017-11-01 14:00:00,63,0,87.47,85.02,25.29,W,0.71
TA00216,Makerere Synoptic,2017-11-01 15:00:00,64,0,87.47,24.65,24.72,NW,0.49
TA00216,Makerere Synoptic,2017-11-01 16:00:00,71,0,87.51,0,23.4,NW,0.34
TA00216,Makerere Synoptic,2017-11-01 17:00:00,78,0,87.55,0,22.14,NW,0.32
TA00216,Makerere Synoptic,2017-11-01 18:00:00,81,0,87.61,0,21.67,NE,0.6
TA00216,Makerere Synoptic,2017-11-01 19:00:00,80,0,87.62,0,21.83,NE,0.68
TA00216,Makerere Synoptic,2017-11-01 20:00:00,81,0,87.64,0,21.68,N,0.55
TA00216,Makerere Synoptic,2017-11-01 21:00:00,84,0,87.6,0,21.06,N,0.42
TA00216,Makerere Synoptic,2017-11-01 22:00:00,87,0.78,87.58,0,21.06,SW,0.49
TA00216,Makerere Synoptic,2017-11-01 23:00:00,86,0.56,87.56,0,20.33,SE,0.73
TA00216,Makerere Synoptic,2017-11-02 00:00:00,91,0,87.56,0,19.67,E,0.84
TA00216,Makerere Synoptic,2017-11-02 01:00:00,95,0.02,87.58,0,19.71,E,0.69
TA00216,Makerere Synoptic,2017-11-02 02:00:00,94,0,87.61,0,19.59,E,0.71
TA00216,Makerere Synoptic,2017-11-02 03:00:00,94,0,87.61,0.88,19.15,NE,0.33
TA00216,Makerere Synoptic,2017-11-02 04:00:00,94,0,87.68,53.4,19.39,NW,0.25
TA00216,Makerere Synoptic,2017-11-02 05:00:00,88,0,87.77,163.32,21.38,S,0.53
TA00216,Makerere Synoptic,2017-11-02 06:00:00,74,0,87.82,562.32,24.28,SW,1.13
TA00216,Makerere Synoptic,2017-11-02 07:00:00,64,0,87.83,448.28,25.1,W,1.11
TA00216,Makerere Synoptic,2017-11-02 08:00:00,66,0,87.82,406.12,24.62,W,1.28
TA00216,Makerere Synoptic,2017-11-02 09:00:00,65,0,87.75,660.52,25.4,SW,1.24
TA00216,Makerere Synoptic,2017-11-02 10:00:00,58,0,87.64,699.68,26.91,NW,0.93
TA00216,Makerere Synoptic,2017-11-02 11:00:00,57,0,87.55,534.52,27.15,W,1.02
TA00216,Makerere Synoptic,2017-11-02 12:00:00,51,0,87.44,566.51,27.82,NE,0.93
TA00216,Makerere Synoptic,2017-11-02 13:00:00,46,0,87.4,407.8,28.99,W,0.89
TA00216,Makerere Synoptic,2017-11-02 14:00:00,51,0,87.4,157.92,27.44,W,0.77
TA00216,Makerere Synoptic,2017-11-02 15:00:00,59,0,87.47,22.17,24.8,NW,0.58
TA00216,Makerere Synoptic,2017-11-02 16:00:00,71,0,87.5,0,22.97,NE,0.52
TA00216,Makerere Synoptic,2017-11-02 17:00:00,78,0,87.5,0,21.85,N,0.43
TA00216,Makerere Synoptic,2017-11-02 18:00:00,82,0,87.6,0,21.15,N,0.41
TA00216,Makerere Synoptic,2017-11-02 19:00:00,82,0,87.64,0,21.04,N,0.36
TA00216,Makerere Synoptic,2017-11-02 20:00:00,83,0,87.67,0,20.97,W,0.43
TA00216,Makerere Synoptic,2017-11-02 21:00:00,87,0,87.67,0,20.6,E,0.35
TA00216,Makerere Synoptic,2017-11-02 22:00:00,86,0,87.61,0,20.49,N,0.25
TA00216,Makerere Synoptic,2017-11-02 23:00:00,86,0,87.55,0,20.51,W,0.22
TA00216,Makerere Synoptic,2017-11-03 00:00:00,88,0,87.54,0,20.33,NE,0.41
TA00216,Makerere Synoptic,2017-11-03 01:00:00,90,2.41,87.58,0,19.89,SE,0.87
TA00216,Makerere Synoptic,2017-11-03 02:00:00,96,7.55,87.6,0,16.57,N,1.09
TA00216,Makerere Synoptic,2017-11-03 03:00:00,98,0,87.62,5.47,17.26,NE,0.74
TA00216,Makerere Synoptic,2017-11-03 04:00:00,100,0,87.66,48.77,17.71,E,0.84
TA00216,Makerere Synoptic,2017-11-03 05:00:00,100,0,87.69,299.4,18.74,N,0.73
TA00216,Makerere Synoptic,2017-11-03 06:00:00,100,0,87.73,506.68,21.19,NW,1.31
TA00216,Makerere Synoptic,2017-11-03 07:00:00,90,0,87.73,729.93,23.24,W,1.2
TA00216,Makerere Synoptic,2017-11-03 08:00:00,66,0,87.7,758.58,26.49,W,1.26
TA00216,Makerere Synoptic,2017-11-03 09:00:00,64,0,87.63,506.42,26.69,W,0.91
TA00216,Makerere Synoptic,2017-11-03 10:00:00,65,0.14,87.54,332.82,26.5,SW,0.98
TA00216,Makerere Synoptic,2017-11-03 11:00:00,65,0,87.42,654.55,26.72,SW,1.2
TA00216,Makerere Synoptic,2017-11-03 12:00:00,60,0,87.33,595.85,27.73,SW,1.19
TA00216,Makerere Synoptic,2017-11-03 13:00:00,62,0,87.32,209.95,26.36,W,0.87
TA00216,Makerere Synoptic,2017-11-03 14:00:00,66,0,87.33,110.6,24.65,W,0.68
TA00216,Makerere Synoptic,2017-11-03 15:00:00,68,0,87.36,14.68,23.52,W,0.52
TA00216,Makerere Synoptic,2017-11-03 16:00:00,73,0,87.48,0,22.47,NW,0.4
TA00216,Makerere Synoptic,2017-11-03 17:00:00,77,0,87.55,0,22.01,N,0.41
TA00216,Makerere Synoptic,2017-11-03 18:00:00,83,0,87.58,0,20.94,N,0.18
TA00216,Makerere Synoptic,2017-11-03 19:00:00,86,0,87.66,0,20.5,N,0.33
TA00216,Makerere Synoptic,2017-11-03 20:00:00,87,0,87.65,0,20.43,E,0.38
TA00216,Makerere Synoptic,2017-11-03 21:00:00,88,0,87.6,0,20.25,E,0.34
TA00216,Makerere Synoptic,2017-11-03 22:00:00,89,0,87.56,0,20.39,E,0.42
TA00216,Makerere Synoptic,2017-11-03 23:00:00,88,0,87.58,0,20.44,SE,0.81
TA00216,Makerere Synoptic,2017-11-04 00:00:00,89,0,87.54,0,19.11,E,0.74
TA00216,Makerere Synoptic,2017-11-04 01:00:00,92,0,87.55,0,18.37,E,0.88
TA00216,Makerere Synoptic,2017-11-04 02:00:00,93,0,87.58,0,17.93,E,0.85
TA00216,Makerere Synoptic,2017-11-04 03:00:00,92,0,87.66,2.12,17.99,E,0.74
TA00216,Makerere Synoptic,2017-11-04 04:00:00,93,0,87.76,30.47,18.14,E,0.85
TA00216,Makerere Synoptic,2017-11-04 05:00:00,92,0,87.84,77.98,18.65,E,0.95
TA00216,Makerere Synoptic,2017-11-04 06:00:00,90,0,87.89,178.33,19.56,NE,0.84
TA00216,Makerere Synoptic,2017-11-04 07:00:00,86,0,87.92,315.83,20.43,SE,1.81
TA00216,Makerere Synoptic,2017-11-04 08:00:00,83,0,87.89,232.22,20.52,SE,2.1
TA00216,Makerere Synoptic,2017-11-04 09:00:00,81,0,87.78,470.58,20.95,SE,1.88
TA00216,Makerere Synoptic,2017-11-04 10:00:00,75,0,87.69,479.23,22.31,SE,1.64
TA00216,Makerere Synoptic,2017-11-04 11:00:00,70,0,87.58,588.75,23.73,SE,1.29
TA00216,Makerere Synoptic,2017-11-04 12:00:00,65,0,87.51,473.92,25.23,E,1.08
TA00216,Makerere Synoptic,2017-11-04 13:00:00,63,0,87.47,333.12,25.85,E,1.06
TA00216,Makerere Synoptic,2017-11-04 14:00:00,67,0,87.48,103.48,23.64,SE,1.39
TA00216,Makerere Synoptic,2017-11-04 15:00:00,73,0,87.56,16.82,22.28,SE,0.72
TA00216,Makerere Synoptic,2017-11-04 16:00:00,78,0,87.65,0,20.94,SE,0.81
TA00216,Makerere Synoptic,2017-11-04 17:00:00,84,0,87.72,0,20.39,SE,1.16
TA00216,Makerere Synoptic,2017-11-04 18:00:00,85,0,87.77,0,20.04,SE,1.29
TA00216,Makerere Synoptic,2017-11-04 19:00:00,86,0,87.81,0,19.73,SE,1.24
TA00216,Makerere Synoptic,2017-11-04 20:00:00,86,0,87.8,0,19.36,SE,1.33
TA00216,Makerere Synoptic,2017-11-04 21:00:00,88,0,87.79,0,19.14,SE,1.01
TA00216,Makerere Synoptic,2017-11-04 22:00:00,89,0,87.79,0,19.07,SE,0.76
TA00216,Makerere Synoptic,2017-11-04 23:00:00,88,0,87.74,0,18.83,SE,0.94
TA00216,Makerere Synoptic,2017-11-05 00:00:00,90,0,87.77,0,18.57,E,0.73
TA00216,Makerere Synoptic,2017-11-05 01:00:00,89,0,87.82,0,18.63,W,0.54
TA00216,Makerere Synoptic,2017-11-05 02:00:00,89,0,87.85,0,18.19,W,0.67
TA00216,Makerere Synoptic,2017-11-05 03:00:00,92,0,87.91,1.27,18.15,SW,0.86
TA00216,Makerere Synoptic,2017-11-05 04:00:00,92,0,87.91,39.43,18.02,SW,0.77
TA00216,Makerere Synoptic,2017-11-05 05:00:00,89,0,87.92,129.92,18.7,SW,0.52
TA00216,Makerere Synoptic,2017-11-05 06:00:00,83,0,87.92,200.73,20.15,NE,0.49
TA00216,Makerere Synoptic,2017-11-05 07:00:00,77,0,87.9,308.55,21.68,N,0.9
TA00216,Makerere Synoptic,2017-11-05 08:00:00,74,0,87.89,303.12,22.24,E,0.79
TA00216,Makerere Synoptic,2017-11-05 09:00:00,73,0,87.83,364.87,23.14,E,0.65
TA00216,Makerere Synoptic,2017-11-05 10:00:00,69,0,87.75,374.42,23.95,SE,0.67
TA00216,Makerere Synoptic,2017-11-05 11:00:00,66,0,87.62,474,24.76,SE,0.81
TA00216,Makerere Synoptic,2017-11-05 12:00:00,61,0,87.51,537.38,26,SE,0.83
TA00216,Makerere Synoptic,2017-11-05 13:00:00,60,0,87.47,282.67,26.14,E,0.67
TA00216,Makerere Synoptic,2017-11-05 14:00:00,67,0,87.49,58.58,24.22,E,0.58
TA00216,Makerere Synoptic,2017-11-05 15:00:00,73,0,87.53,4.82,22.96,E,0.44
TA00216,Makerere Synoptic,2017-11-05 16:00:00,77,0,87.6,0,22,E,0.53
TA00216,Makerere Synoptic,2017-11-05 17:00:00,80,0,87.69,0,21.41,SE,0.52
TA00216,Makerere Synoptic,2017-11-05 18:00:00,84,0,87.75,0,20.73,S,0.18
TA00216,Makerere Synoptic,2017-11-05 19:00:00,87,0,87.79,0,19.97,NE,0.34
TA00216,Makerere Synoptic,2017-11-05 20:00:00,88,0,87.77,0,20.1,N,0.27
TA00216,Makerere Synoptic,2017-11-05 21:00:00,89,0,87.75,0,20.11,N,0.39
TA00216,Makerere Synoptic,2017-11-05 22:00:00,89,0,87.7,0,19.92,NE,0.24
TA00216,Makerere Synoptic,2017-11-05 23:00:00,92,0,87.64,0,19.39,SE,0.2
TA00216,Makerere Synoptic,2017-11-06 00:00:00,95,0,87.61,0,18.92,NE,0.33
TA00216,Makerere Synoptic,2017-11-06 01:00:00,96,0,87.59,0,18.75,NE,0.49
TA00216,Makerere Synoptic,2017-11-06 02:00:00,96,0,87.6,0,18.42,NE,0.46
TA00216,Makerere Synoptic,2017-11-06 03:00:00,98,0,87.63,4.08,17.94,E,0.2
TA00216,Makerere Synoptic,2017-11-06 04:00:00,99,0,87.68,71.7,18.91,E,0.68
TA00216,Makerere Synoptic,2017-11-06 05:00:00,93,0,87.77,148.25,20.74,NE,0.42
TA00216,Makerere Synoptic,2017-11-06 06:00:00,82,0,87.78,459.07,23.15,SE,0.57
TA00216,Makerere Synoptic,2017-11-06 07:00:00,67,0,87.77,428.35,25.71,S,0.56
TA00216,Makerere Synoptic,2017-11-06 08:00:00,72,1.72,87.74,128.57,23.96,SW,0.93
TA00216,Makerere Synoptic,2017-11-06 09:00:00,93,2.67,87.73,37.35,19.42,E,0.73
TA00216,Makerere Synoptic,2017-11-06 10:00:00,98,0.54,87.63,102.82,19.06,E,0.5
TA00216,Makerere Synoptic,2017-11-06 11:00:00,95,0,87.48,458.23,20.91,N,0.54
TA00216,Makerere Synoptic,2017-11-06 12:00:00,76,0,87.4,522.9,24.78,NW,0.75
TA00216,Makerere Synoptic,2017-11-06 13:00:00,72,0,87.34,291.58,24.5,NW,0.66
TA00216,Makerere Synoptic,2017-11-06 14:00:00,68,0,87.38,116.67,24.73,W,0.61
TA00216,Makerere Synoptic,2017-11-06 15:00:00,76,0,87.42,11.85,22.73,W,0.4
TA00216,Makerere Synoptic,2017-11-06 16:00:00,83,0,87.5,0,21.17,NW,0.31
TA00216,Makerere Synoptic,2017-11-06 17:00:00,88,0,87.57,0,20.39,N,0.3
TA00216,Makerere Synoptic,2017-11-06 18:00:00,91,0,87.63,0,20.28,E,0.64
TA00216,Makerere Synoptic,2017-11-06 19:00:00,92,0,87.69,0,20.01,E,0.49
TA00216,Makerere Synoptic,2017-11-06 20:00:00,93,0,87.69,0,19.91,E,0.55
TA00216,Makerere Synoptic,2017-11-06 21:00:00,93,0,87.67,0,20.05,N,0.49
TA00216,Makerere Synoptic,2017-11-06 22:00:00,95,0,87.64,0,19.79,E,0.81
TA00216,Makerere Synoptic,2017-11-06 23:00:00,97,2.35,87.6,0,19.05,E,1
TA00216,Makerere Synoptic,2017-11-07 00:00:00,97,0.02,87.57,0,18.52,E,0.61
TA00216,Makerere Synoptic,2017-11-07 01:00:00,99,9.84,87.6,0,18.33,SE,1.26
TA00216,Makerere Synoptic,2017-11-07 02:00:00,99,1.48,87.64,0,18.04,E,0.71
TA00216,Makerere Synoptic,2017-11-07 03:00:00,100,5.58,87.74,0,17.64,NE,0.77
TA00216,Makerere Synoptic,2017-11-07 04:00:00,100,12.61,87.77,3.27,17.33,N,0.67
TA00216,Makerere Synoptic,2017-11-07 05:00:00,100,19.22,87.86,13.47,17.23,N,0.59
TA00216,Makerere Synoptic,2017-11-07 06:00:00,100,5.17,87.9,35.6,17.54,SE,0.5
TA00216,Makerere Synoptic,2017-11-07 07:00:00,100,8.85,87.96,22.35,17.75,S,0.58
TA00216,Makerere Synoptic,2017-11-07 08:00:00,100,4.09,87.95,107.1,17.55,SE,0.96
TA00216,Makerere Synoptic,2017-11-07 09:00:00,100,0,87.84,474.85,17.9,SE,0.98
TA00216,Makerere Synoptic,2017-11-07 10:00:00,100,0,87.71,612.63,19.98,SE,4.48
TA00216,Makerere Synoptic,2017-11-07 11:00:00,91,0,87.64,547.17,21.96,N,22.84
TA00216,Makerere Synoptic,2017-11-07 12:00:00,82,0,87.58,473.55,22.23,W,1
TA00216,Makerere Synoptic,2017-11-07 13:00:00,72,0,87.53,323.82,23.56,W,0.92
TA00216,Makerere Synoptic,2017-11-07 14:00:00,72,0,87.52,131.95,23.15,W,0.59
TA00216,Makerere Synoptic,2017-11-07 15:00:00,79,0,87.51,17.15,21.27,NW,0.28
TA00216,Makerere Synoptic,2017-11-07 16:00:00,86,0,87.6,0,19.73,NE,0.27
TA00216,Makerere Synoptic,2017-11-07 17:00:00,88,0,87.66,0,19.53,N,0.15
TA00216,Makerere Synoptic,2017-11-07 18:00:00,90,0,87.7,0,19.66,NE,0.32
TA00216,Makerere Synoptic,2017-11-07 19:00:00,90,0,87.8,0,19.75,NE,0.32
TA00216,Makerere Synoptic,2017-11-07 20:00:00,90,0,87.82,0,19.58,NE,0.3
TA00216,Makerere Synoptic,2017-11-07 21:00:00,93,0,87.81,0,19.26,S,0.17
TA00216,Makerere Synoptic,2017-11-07 22:00:00,95,0,87.79,0,18.79,SE,0.26
TA00216,Makerere Synoptic,2017-11-07 23:00:00,94,0,87.74,0,18.72,SE,0.31
TA00216,Makerere Synoptic,2017-11-08 00:00:00,95,0,87.68,0,18.58,NE,0.37
TA00216,Makerere Synoptic,2017-11-08 01:00:00,97,0,87.69,0,18.86,E,0.23
TA00216,Makerere Synoptic,2017-11-08 02:00:00,98,0,87.71,0,18.9,SE,0.5
TA00216,Makerere Synoptic,2017-11-08 03:00:00,98,0,87.75,1.68,19.03,SE,0.51
TA00216,Makerere Synoptic,2017-11-08 04:00:00,98,0,87.81,44.23,19.18,SE,0.44
TA00216,Makerere Synoptic,2017-11-08 05:00:00,97,0,87.86,151.5,19.84,S,0.43
TA00216,Makerere Synoptic,2017-11-08 06:00:00,89,0,87.87,281.67,21.52,E,0.59
TA00216,Makerere Synoptic,2017-11-08 07:00:00,83,0,87.87,295.5,22.45,E,0.55
